"subgroup_id","subgroup_name","subgroup_description"
1,"更多生活品味","線上生活品味課程，學習瑜珈、筋膜放鬆，消除疲勞產生的痠痛；嘗試溜溜球、塔羅牌，替生活增添不同情趣；或學習化妝、烹飪、溜溜球等實用課程，提升生活品質，過質感生活。"
2,"護膚保養與化妝","線上護膚保養與化妝課程，學習正確的護膚保養與上妝步驟，從暸解自己的膚質與膚況開始，選擇適合自己的保養品與化妝品，維持肌膚的健康與保養習慣，由內而外散發你的個人魅力。"
3,"平面設計","線上平面設計課程，學習 Photoshop、Illustrator、InDesign 等設計軟體，掌握設計美學、視覺傳達、圖形設計等技能，成為案子接不完的接案設計師。"
4,"繪畫與插畫","繪畫與插畫類型線上課程，無論單純想學畫畫，還是偏好特定畫風，學習水彩、素描、速寫、人物插畫、動物插畫，紀錄生活和旅行；學習空間透視、配色技巧、幾何圖形，讓你朝專業畫師前進。"
5,"電腦繪圖","電腦繪圖類型線上課程，學習各式電腦繪圖工具，如：Photoshop、sai，掌握視覺設計、網頁設計竅門，學會人物繪圖、色彩光學、場景設計，提升影像創作品質。"
6,"應用設計","線上應用設計課程，學習 AutoCAD、ZBrush、Sketch 等設計軟體，掌握電腦繪圖、產品設計、模型建模、模型雕刻等技能。或習得 LINE 貼圖設計、字體設計等專長，增添生活美學。"
7,"求職","線上求職課程，學習如何撰寫中英文履歷、中英文面試技巧、職涯規劃與生涯管理等，掌握如何展現自身價值的關鍵，提升求職或轉職的規劃能力與競爭力。"
8,"英文","線上自學英文其實不難，打好英文發音和單字基礎，從日常對話運用來學習文法和語法，英文聽說讀寫能力一次習得。學習商業英文專業的用字遣詞，提升你的職場競爭力。"
9,"手作小物","線上手作小物課程，DIY 製作有質感且客製化的手作小物，學習療癒花藝與乾燥花，自己手作造型蛋糕，製作羊毛氈吊飾等療癒小物，適合送禮或希望創立自己手作品牌的你。"
10,"DJ","線上 DJ 課程，從理解混音和編曲的器材、線材，以及歌曲架構分析、曲風辨識開始，學習 DJ 混音、電音編曲等音樂製作技術，錄製屬於你的 mixtape 混音帶，完整你的 EDM 作品集。"
11,"更多音樂","線上音樂課程，從吉他、鋼琴等樂器入門開始，學習正確的歌唱、發聲技巧，打好音樂理論基礎，學習流行音樂製作和編曲軟體，在家也能輕鬆創作音樂。"
12,"更多藝術","線上藝術課程，學習用水彩、壓克力等媒材完成繪畫與插畫，用電腦繪圖、人像創作的方式紀錄生活的重要時刻，掌握字體設計、封面設計，增加生活中手帳和筆記的美學。"
13,"烹飪料理與甜點","線上烹飪料理與甜點課程，掌握食材烹調原理與烹飪器具的使用方式，學會製作甜點與蛋糕，掌握麵包烘焙的技術，在家也能煮出一桌家常料理與飯後甜點，滿足全家人的胃。"
14,"壓力舒緩","線上壓力舒緩課程，幫你找到對的方式，適時地釋放壓力與舒緩身心。透過筋膜按摩、瑜珈、飲食等方式，改善焦慮心態、排解與舒緩日常生活帶來的緊張與壓力。"
15,"運動","線上運動課程，從認識身體、理解核心肌群與體態開始，透過瑜珈、舞蹈、自主運動訓練等方式，打造理想體態，擁有健康人生。"
16,"親子教育","線上親子教育課程，包含社會修養、知識教育、能力素質、與情感性格的教育，以培養孩子身心健康、開發潛能以及培養個性為目標。"
17,"手工印刷","線上手工印刷課程，學習使用印刷台或印刷板的手作印刷形式，如：絹印、藍曬技法、網版印刷，將設計好的圖像印製在布幔、織品等物件上。"
18,"手工書","線上手工書課程，學習使用不同質地的手工紙，以線裝的方式串連，自行完成封面設計與內頁設計，製作出屬於你的手作立體書和書衣。"
19,"動態攝影","線上動態攝影課程，教你如何捕捉動態的攝影知識與技巧。透過對動態畫面與攝影主題的掌握，學習對鏡頭時間的控制與協調感，並掌握拍攝影片的畫面構圖，善用動態影像說你想說的故事。"
20,"素描","線上素描課程，學習基礎素描構圖與素描工具的使用，掌握素描、速寫的構圖、光影明暗，與媒材挑選，善用素描紀錄生活，豐富你的創作作品集。"
21,"樂器","在家也能輕鬆學習樂器演奏，流行鋼琴伴奏和即興爵士會適合喜歡鍵盤樂器的你；拿把吉他自彈自唱，學習吉他指法和編曲技巧；想訓練節奏感可以從木箱鼓或爵士鼓入門開始你的樂器自學之旅。"
22,"色彩學","線上色彩學課程，學習色彩配色原理、色彩理論、色彩心理學，掌握配色原則與邏輯，透過色彩學課程訓練你的配色能力，善用色彩傳遞意象，感染大眾情緒。"
23,"字體設計","線上字體設計課程，學習字體輪廓與基礎字體編排，掌握用字技巧、色調組合、字型變化和版面編排，設計自己專屬的標準字體。"
24,"手寫字","手寫字類型線上課程，讓你的書寫出的文字充滿溫度。學習日常書寫的硬筆字，或練習中文書法和英文藝術字，提升字體的質感與美感，寫一首漂亮的字。"
25,"動態設計","線上動態設計課程，學習 After Effects、Motion Graphic 實作基礎，掌握動態影像設計的必備法則，不只透過影像設計說故事，融入動態和聲音，讓畫面更立體。"
26,"音樂理論","音樂理論簡稱樂理，是音樂創作的基礎，學習完整音樂理論，在音樂創作的路上打好基礎，讓你在樂器演奏、音樂軟體編曲，以及音樂製作上更專精。"
27,"刺繡","線上刺繡課程，學習不同的刺繡針法與刺繡構圖，掌握點線面的基本刺繡概念，運用不同媒材創作出刺繡別針、刺繡洋裝等作品。"
28,"日文","線上自學日文其實不難，無論是想入門日文五十音、為了生活溝通的日文學習或是準備日文檢定，甚至是因工作需要而學習的職場商用日文，都能透過一系列的日文線上課程來學習。"
29,"心靈成長與教育","線上心靈成長與教育課程，學習與生活與社會經驗相關的教育類型課程，持續的自我成長提升個人競爭力、改善生活品質、增強人際關係，同時也能回饋社會創造永續價值。"
30,"音樂創作","線上音樂創作課程，專為對音樂創作有興趣的你而設計的線上課程，從流行音樂編曲軟體開始，無論你是想學電音製作還是 DJ 混音，從 Logic Pro 到 Cubase，穩扎穩打邁向音樂製作人之路。"
31,"氣球","線上氣球課程，學習常用的氣球工具、氣球收納、氣球編織與雕塑技法，善用氣球做出漂亮的居家、派對會場裝飾，也能將造型汽球運用於表演藝術活動裡。"
32,"程式入門","線上程式入門課程，從零到一學習網站開發與熟悉程式語言，無論你想學前端或後端，學習 C++、Python、SQL、JavaScript、HTML語法，善用資料庫與數據分析，提升你的資訊技術能力。"
33,"程式語言","線上程式語言課程，學習標準化的電腦形式語言，如：Python、JavaScript、HTML、CSS、C/C++、Rust、R 語言、Ruby、Swift 等，培養數位時代必備的運算思維和邏輯素養。"
34,"網頁前端","線上網頁前端課程，學習 JavaScript、HTML、CSS 等網頁前端語法，製作 RWD 響應式或互動式網頁，輕鬆設計各項網頁元素，直接和用戶互動。"
35,"文書處理","線上文書處理課程，學習職場必備文書處理軟體工具，如：Word、Excel、PowerPoint 等，掌握文書處理軟體之應用，提升工作效率與職場競爭力。"
36,"角色設計","角色設計類型線上課程，幫你打好人物形象設計的基礎，從基礎人物素描開始，學習角色造型細節，包含角色形象、骨架設定、角色服裝、臉部表情等。"
37,"資料彙整","線上資料彙整課程，學習 Excel、Evernote 等資料彙整工具，培養數位時代必備的資料分析與彙整技能，有效提升工作效率。"
